band,associate
Kamila_Thompson,-
Richard_Thompson_(musician),-
Rufus_Wainwright,-
Martha_Wainwright,-
Linda_Thompson_(singer),-
Rosanne_Cash,-
The_Roches,-
Lucy_Wainwright_Roche,-
Spinal_Tap_(band),-
Joe_Henry,-
Kate_and_Anna_McGarrigle,-
Steeleye_Span,-
Albion_Band,-
Brass_Monkey_(band),-
Thea_Gilmore,-
Fotheringay,-
Average_White_Band,-
Fairport_Convention,-
Cracker_(band),-
Elvis_Costello,-
John_Hiatt,-
Stevie_Nicks,-
Gwen_Stefani,-
Badly_Drawn_Boy,-
Sloan_(band),-
Moby,-
Motörhead,-
Beck,-
Foo_Fighters,-
Elliott_Smith,-
James_Blunt,-
R.L._Burnside,-
Athlete_(band),-
Poison_(American_band),-
Elbow_(band),-
Yonder_Mountain_String_Band,-
David_Lindley_(musician),-
G3_(tour),-
The_Albion_Band,-
Show_of_Hands,-
Paul_Phillips_(songwriter/singer),-
Teddy_Thompson,-
Edwyn_Collins,-
Eliza_Carthy,-
The_Bunch,-
Blue_Murder_(folk),-
Martin_Carthy,-
Waterson–Carthy,-
The_Watersons,-
Danny_Thompson,-
Roger_Swallow,-
Daphne’s_Flight,-
Clive_Gregson,-
Bonnie_Raitt,-
The_Johnstons,-
Planxty,-
Andy_Irvine_(musician),-
Matt_Molloy,-
Tommy_Peoples,-
Nanci_Griffith,-
Boo_Hewerdine,-
Any_Trouble,-
Eddi_Reader,-
Plainsong_(band),-
Kate_McGarrigle,-
Kate_&_Anna_McGarrigle,-
-,Kamila_Thompson
-,Richard_Thompson_(musician)
-,Rufus_Wainwright
-,Martha_Wainwright
-,Linda_Thompson_(singer)
-,Rosanne_Cash
-,The_Roches
-,Lucy_Wainwright_Roche
-,Spinal_Tap_(band)
-,Joe_Henry
-,Kate_and_Anna_McGarrigle
-,Steeleye_Span
-,Albion_Band
-,Brass_Monkey_(band)
-,Thea_Gilmore
-,Fotheringay
-,Average_White_Band
-,Fairport_Convention
-,Cracker_(band)
-,Elvis_Costello
-,John_Hiatt
-,Stevie_Nicks
-,Gwen_Stefani
-,Badly_Drawn_Boy
-,Sloan_(band)
-,Moby
-,Motörhead
-,Beck
-,Foo_Fighters
-,Elliott_Smith
-,James_Blunt
-,R.L._Burnside
-,Athlete_(band)
-,Poison_(American_band)
-,Elbow_(band)
-,Yonder_Mountain_String_Band
-,David_Lindley_(musician)
-,G3_(tour)
-,The_Albion_Band
-,Show_of_Hands
-,Paul_Phillips_(songwriter/singer)
-,Teddy_Thompson
-,Edwyn_Collins
-,Eliza_Carthy
-,The_Bunch
-,Blue_Murder_(folk)
-,Martin_Carthy
-,Waterson–Carthy
-,The_Watersons
-,Danny_Thompson
-,Roger_Swallow
-,Daphne’s_Flight
-,Clive_Gregson
-,Bonnie_Raitt
-,The_Johnstons
-,Planxty
-,Andy_Irvine_(musician)
-,Matt_Molloy
-,Tommy_Peoples
-,Nanci_Griffith
-,Boo_Hewerdine
-,Any_Trouble
-,Eddi_Reader
-,Plainsong_(band)
-,Kate_McGarrigle
-,Kate_&_Anna_McGarrigle
